"","Domain","GEOID","CountyName","NAME","Label","Stat","Value"
"132","hhincE","51125950300","Nelson County","Census Tract 9503, Nelson County, Virginia","Median Household Income","Tract","$59,500"
"133","life_expE","51137110102","Orange County","Census Tract 1101.02, Orange County, Virginia","Average Life Expectancy","Tract","75.1 Years"
"134","badegreeE","51137110102","Orange County","Census Tract 1101.02, Orange County, Virginia","Have Bachelors Degree","Tract","12.5% of Adults"
"135","hhincE","51137110102","Orange County","Census Tract 1101.02, Orange County, Virginia","Median Household Income","Tract","$64,605"
"136","life_expE","51137110103","Orange County","Census Tract 1101.03, Orange County, Virginia","Average Life Expectancy","Tract","82.2 Years"
"137","badegreeE","51137110103","Orange County","Census Tract 1101.03, Orange County, Virginia","Have Bachelors Degree","Tract","37.6% of Adults"
"138","hhincE","51137110103","Orange County","Census Tract 1101.03, Orange County, Virginia","Median Household Income","Tract","$83,412"
"139","life_expE","51137110104","Orange County","Census Tract 1101.04, Orange County, Virginia","Average Life Expectancy","Tract","79.7 Years"
"140","badegreeE","51137110104","Orange County","Census Tract 1101.04, Orange County, Virginia","Have Bachelors Degree","Tract","19.6% of Adults"
"141","hhincE","51137110104","Orange County","Census Tract 1101.04, Orange County, Virginia","Median Household Income","Tract","$73,170"
"142","life_expE","51137110200","Orange County","Census Tract 1102, Orange County, Virginia","Average Life Expectancy","Tract","76.7 Years"
"143","badegreeE","51137110200","Orange County","Census Tract 1102, Orange County, Virginia","Have Bachelors Degree","Tract","24.4% of Adults"
"144","hhincE","51137110200","Orange County","Census Tract 1102, Orange County, Virginia","Median Household Income","Tract","$44,732"
"145","life_expE","51137110300","Orange County","Census Tract 1103, Orange County, Virginia","Average Life Expectancy","Tract","78.6 Years"
"146","badegreeE","51137110300","Orange County","Census Tract 1103, Orange County, Virginia","Have Bachelors Degree","Tract","20.7% of Adults"
"147","hhincE","51137110300","Orange County","Census Tract 1103, Orange County, Virginia","Median Household Income","Tract","$62,656"
"148","life_expE","51540000201","Charlottesville","Census Tract 2.01, Charlottesville city, Virginia","Average Life Expectancy","Tract","78.7 Years"
"149","badegreeE","51540000201","Charlottesville","Census Tract 2.01, Charlottesville city, Virginia","Have Bachelors Degree","Tract","58.6% of Adults"
"150","hhincE","51540000201","Charlottesville","Census Tract 2.01, Charlottesville city, Virginia","Median Household Income","Tract","$57,991"
"151","life_expE","51540000202","Charlottesville","Census Tract 2.02, Charlottesville city, Virginia","Average Life Expectancy","Tract","NA Years"
"152","badegreeE","51540000202","Charlottesville","Census Tract 2.02, Charlottesville city, Virginia","Have Bachelors Degree","Tract","30.5% of Adults"
"153","hhincE","51540000202","Charlottesville","Census Tract 2.02, Charlottesville city, Virginia","Median Household Income","Tract","$22,957"
"154","life_expE","51540000302","Charlottesville","Census Tract 3.02, Charlottesville city, Virginia","Average Life Expectancy","Tract","80.4 Years"
"155","badegreeE","51540000302","Charlottesville","Census Tract 3.02, Charlottesville city, Virginia","Have Bachelors Degree","Tract","50.7% of Adults"
"156","hhincE","51540000302","Charlottesville","Census Tract 3.02, Charlottesville city, Virginia","Median Household Income","Tract","$63,382"
"157","life_expE","51540000401","Charlottesville","Census Tract 4.01, Charlottesville city, Virginia","Average Life Expectancy","Tract","73.7 Years"
"158","badegreeE","51540000401","Charlottesville","Census Tract 4.01, Charlottesville city, Virginia","Have Bachelors Degree","Tract","38.5% of Adults"
"159","hhincE","51540000401","Charlottesville","Census Tract 4.01, Charlottesville city, Virginia","Median Household Income","Tract","$52,083"
"160","life_expE","51540000402","Charlottesville","Census Tract 4.02, Charlottesville city, Virginia","Average Life Expectancy","Tract","76.3 Years"
"161","badegreeE","51540000402","Charlottesville","Census Tract 4.02, Charlottesville city, Virginia","Have Bachelors Degree","Tract","38.3% of Adults"
"162","hhincE","51540000402","Charlottesville","Census Tract 4.02, Charlottesville city, Virginia","Median Household Income","Tract","$58,478"
"163","life_expE","51540000501","Charlottesville","Census Tract 5.01, Charlottesville city, Virginia","Average Life Expectancy","Tract","76.4 Years"
"164","badegreeE","51540000501","Charlottesville","Census Tract 5.01, Charlottesville city, Virginia","Have Bachelors Degree","Tract","31.7% of Adults"
"165","hhincE","51540000501","Charlottesville","Census Tract 5.01, Charlottesville city, Virginia","Median Household Income","Tract","$40,074"
"166","life_expE","51540000502","Charlottesville","Census Tract 5.02, Charlottesville city, Virginia","Average Life Expectancy","Tract","79.8 Years"
